"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C5, Cbp1, Cbp2, Cbp3, Cbp4, Chpf1, Cth1";"C_Disc_D5.0mm_W2.5mm_P2.50mm";8;"100n";;;
2;"C2, C3, Cin1, Clpf1";"C_Disc_D5.0mm_W2.5mm_P2.50mm";4;"10n";;;
3;"C6, C7, C8";"CP_Radial_D5.0mm_P2.50mm";3;"10u";;;
4;"Cf1";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"100p";;;
5;"COIL_IN1, IR_IN1, US_IN1";"TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm";3;"Conn_01x02";;;
6;"D4, D5";"D_DO-35_SOD27_P7.62mm_Horizontal";2;"1N914";;;
7;"MAG_IN1, METRO_OUT1, PWR_IN1";"2212S04SG85";3;"2212S-04SG-85";;;
8;"R1, R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"19k";;;
9;"R2, R4, Rf12, Rf22, Rf23";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";5;"1k";;;
10;"R7, Rb11, Rg1, Rhpf1, Rpullup1, Rth1, Rth2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";7;"10k";;;
11;"Rb12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1.5k";;;
12;"Rf1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"91k";;;
13;"Rf11, Rf21";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"9k";;;
14;"Rhyst1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1Meg";;;
15;"RL1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"20k";;;
16;"U1, U3";"PDIP8_300MC_MCH";2;"MCP6022";;;
17;"U2";"P8";1;"LM393";;;
18;"U4";"P8";1;"TLE2072CP";;;
19;"U5";"21-0043D_8_MXM";1;"icl7660cpa";;;
